 version=3.16.14:  recordUpdate=960, encodeDecode=2910, valueToStringTimes[D,L,T,B]=[490, 100, 200, 1050], valueFromStringTimes[D,L,T,B]=[140, 80, 130, 630], valueOfTimes[D,L,T,B]=[0, 10, 40, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
 version=3.16.14:  recordUpdate=980, encodeDecode=3000, valueToStringTimes[D,L,T,B]=[510, 100, 200, 1050], valueFromStringTimes[D,L,T,B]=[140, 80, 130, 640], valueOfTimes[D,L,T,B]=[0, 10, 50, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
 version=3.16.14:  recordUpdate=970, encodeDecode=2980, valueToStringTimes[D,L,T,B]=[520, 90, 200, 1030],  valueFromStringTimes[D,L,T,B]=[140, 80, 130, 650], valueOfTimes[D,L,T,B]=[0, 10, 60, 30], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16

 version=3.16.13: recordUpdate=1110, encodeDecode=3010, valueToStringTimes[D,L,T,B]=[580, 170, 430, 1020], valueFromStringTimes[D,L,T,B]=[140, 80, 150, 640], valueOfTimes[D,L,T,B]=[20, 10, 50, 30], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
 version=3.16.13: recordUpdate=1110, encodeDecode=2980, valueToStringTimes[D,L,T,B]=[530, 170, 430, 1110], valueFromStringTimes[D,L,T,B]=[140, 80, 130, 650], valueOfTimes[D,L,T,B]=[20, 10, 50, 30], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
 version=3.16.13: recordUpdate=1120, encodeDecode=2970, valueToStringTimes[D,L,T,B]=[500, 170, 420, 1120], valueFromStringTimes[D,L,T,B]=[140, 80, 120, 640], valueOfTimes[D,L,T,B]=[20, 10, 40, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16

 version=3.16.12: recordUpdate=1080, encodeDecode=2970, valueToStringTimes[D,L,T,B]=[530, 120, 410, 1050], valueFromStringTimes[D,L,T,B]=[140, 70, 130, 640], valueOfTimes[D,L,T,B]=[20, 10, 50, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
 version=3.16.12: recordUpdate=1130, encodeDecode=2990, valueToStringTimes[D,L,T,B]=[510, 120, 410, 1050], valueFromStringTimes[D,L,T,B]=[140, 70, 130, 640], valueOfTimes[D,L,T,B]=[20, 20, 50, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
 version=3.16.12: recordUpdate=1070, encodeDecode=2970, valueToStringTimes[D,L,T,B]=[490, 120, 410, 1060], valueFromStringTimes[D,L,T,B]=[140, 70, 120, 640], valueOfTimes[D,L,T,B]=[20, 10, 50, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16

  version=3.16.8: recordUpdate=1090, encodeDecode=3010, valueToStringTimes[D,L,T,B]=[560, 120, 410, 1060], valueFromStringTimes[D,L,T,B]=[140, 80, 140, 640], valueOfTimes[D,L,T,B]=[20, 10, 50, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
  version=3.16.8: recordUpdate=1090, encodeDecode=2980, valueToStringTimes[D,L,T,B]=[530, 120, 410, 1050], valueFromStringTimes[D,L,T,B]=[130, 80, 140, 640], valueOfTimes[D,L,T,B]=[20, 10, 50, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
  version=3.16.8: recordUpdate=1100, encodeDecode=3030, valueToStringTimes[D,L,T,B]=[500, 110, 410, 1060], valueFromStringTimes[D,L,T,B]=[140, 80, 140, 650], valueOfTimes[D,L,T,B]=[10, 10, 50, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16

  version=3.16.7: recordUpdate=1030, encodeDecode=3030, valueToStringTimes[D,L,T,B]=[620, 170, 460, 1370], valueFromStringTimes[D,L,T,B]=[330, 70, 140, 1540], valueOfTimes[D,L,T,B]=[10, 10, 60, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
  version=3.16.7: recordUpdate=1000, encodeDecode=2990, valueToStringTimes[D,L,T,B]=[600, 160, 470, 1390], valueFromStringTimes[D,L,T,B]=[330, 70, 140, 1550], valueOfTimes[D,L,T,B]=[0, 10, 40, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
  version=3.16.7: recordUpdate=1010, encodeDecode=3020, valueToStringTimes[D,L,T,B]=[570, 160, 470, 1390], valueFromStringTimes[D,L,T,B]=[330, 70, 140, 1580], valueOfTimes[D,L,T,B]=[0, 10, 40, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16

version=3.16.1-b: recordUpdate=1050, encodeDecode=3040, valueToStringTimes[D,L,T,B]=[600, 140, 450, 1460], valueFromStringTimes[D,L,T,B]=[320, 70, 150, 2150], valueOfTimes[D,L,T,B]=[0, 10, 60, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
version=3.16.1-b: recordUpdate=1040, encodeDecode=3080, valueToStringTimes[D,L,T,B]=[560, 130, 470, 1490], valueFromStringTimes[D,L,T,B]=[330, 70, 140, 2990], valueOfTimes[D,L,T,B]=[0, 10, 40, 20], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
version=3.16.1-b: recordUpdate=1060, encodeDecode=3070, valueToStringTimes[D,L,T,B]=[600, 130, 490, 1470], valueFromStringTimes[D,L,T,B]=[330, 70, 140, 3080], valueOfTimes[D,L,T,B]=[0, 20, 50, 30], Windows 11 (10.0), amd64, Java 1.8.0_452, cpus=16
